bs,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
4,120.9681885,120.1117188,121.253064,122.7436035,126.8658203,129.4846924,147.1252441,161.5531982,164.9391602,171.1037476,171.378479,186.5690063,240.2424805,255.5552734,257.9003418,257.0996826,271.3328613
8,120.4038696,123.3673218,129.2334106,160.5698608,169.9935181,183.3329712,244.3149414,260.7326172,284.7332275,306.4871826,313.8746338,327.4094482,414.9837891,422.0393555,434.629834,442.8822754,462.9172363
16,125.0620361,160.8646606,177.0315796,250.3374756,302.8507568,327.4020752,423.4516602,439.6652344,469.6691895,566.4990234,581.0312012,601.0588379,705.7044434,733.5266113,749.3960938,778.6382324,879.0300781
32,158.6834351,257.8543701,325.6212402,435.5049316,564.606543,597.1308594,721.3071289,778.4584961,897.5373047,1030.59873,1077.777539,1165.943945,1426.469043,1462.48916,1493.654102,1546.877051,1745.615625
48,178.8965942,327.3553955,467.8744141,592.7380859,742.1653809,889.1522461,1047.448242,1170.118164,1421.931641,1499.983008,1716.75957,1782.517969,2046.386328,2128.525781,2281.892383,2345.800391,2418.339648
64,253.6101807,435.194043,591.7321289,764.6577637,1012.787891,1161.591602,1451.904395,1539.07998,1784.540625,2065.051367,2148.948438,2340.427344,2855.629883,2922.928125,2995.439844,3117.322266,3566.351563
96,332.6482422,596.28125,889.1960938,1161.195313,1473.751758,1774.556055,2101.549219,2327.144727,2867.281836,2985.751563,3502.100391,3637.904297,4220.819922,4533.047656,5101.176172,5222.3,5423.337109
128,436.7692871,768.6648926,1151.299609,1521.52334,2036.398828,2326.999805,2896.173828,3105.143945,3598.352734,4403.414453,4700.31875,5283.673438,
192,617.9233887,1157.12627,1759.066797,2319.5,2960.405859,3599.7875,4537.804297,5197.165625,6398.567578,
